,author,title,sentence_nr,entity,kind,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
403,"Orwell, George",1984,724,Syme,person,0,0,0,0,0,1,0,1,0,0,-1
408,"Orwell, George",1984,731,Winston,person,0,1,0,0,0,0,1,0,0,0,1
411,"Orwell, George",1984,737,Winston,person,0,0,0,0,0,0,1,0,0,1,1
418,"Orwell, George",1984,743,Howe,person,0,6,0,2,4,0,4,0,0,4,4
426,"Orwell, George",1984,771,Winston,person,0,0,0,0,0,0,6,0,0,6,6
427,"Orwell, George",1984,771,Julia,person,0,0,0,0,0,0,6,0,0,6,6
433,"Orwell, George",1984,781,Winston,person,1,0,1,0,0,1,0,1,0,0,-1
443,"Orwell, George",1984,792,Big Brother,person,0,2,0,0,0,0,2,0,0,2,2
451,"Orwell, George",1984,800,Winston,person,4,4,4,2,0,6,0,4,0,0,-6
459,"Orwell, George",1984,815,Big Brother,person,0,0,0,0,0,1,1,0,0,1,0
500,"Orwell, George",1984,880,Big Brother,person,0,3,0,0,0,0,3,0,0,0,3
501,"Orwell, George",1984,884,Winston,person,0,1,0,0,2,0,2,0,1,2,2
502,"Orwell, George",1984,887,O'Brien,person,0,0,0,1,0,1,0,0,0,0,-1
506,"Orwell, George",1984,900,Winston,person,0,2,0,0,0,0,0,0,0,0,0
507,"Orwell, George",1984,900,O'Brien,person,0,2,0,0,0,0,0,0,0,0,0
514,"Orwell, George",1984,912,O'Brien,person,0,0,0,0,2,0,2,0,0,0,2
517,"Orwell, George",1984,916,Winston,person,3,6,3,3,3,3,3,3,3,3,0
542,"Orwell, George",1984,951,Winston,person,0,6,0,0,0,0,0,0,0,0,0
545,"Orwell, George",1984,952,Winston,person,0,0,0,0,0,1,0,0,0,2,-1
546,"Orwell, George",1984,953,Winston,person,0,1,0,0,1,0,1,0,0,1,1
549,"Orwell, George",1984,959,Charrington,person,0,4,0,0,4,8,8,8,0,8,0
